Date,Open_TWC,High_TWC,Low_TWC,Close_TWC,Volume_TWC,AdjClose_TWC
2013-06-14,95.849998,104.129997,95.790001,103.93,9007100,98.654232
2013-06-17,102.5,103.209999,100.459999,101.290001,4841300,96.148246
2013-06-18,101.489998,104.0,101.300003,103.010002,2349600,97.780935
2013-06-19,102.989998,103.82,102.25,102.489998,1482500,97.287328
2013-06-20,101.989998,102.199997,99.809998,100.410004,1961700,95.312919
2013-06-21,101.449997,102.410004,100.5,101.830002,4686000,96.660835
2013-06-24,100.800003,101.389999,99.730003,99.75,2225400,94.686419
2013-06-25,100.480003,100.980003,98.459999,99.370003,3311300,94.325712
2013-06-26,100.25,104.209999,100.25,103.639999,2932600,98.378952
2013-06-27,103.970001,112.440002,103.970001,108.220001,8367400,102.72646
2013-06-28,107.839996,113.059998,107.379997,112.480003,4402100,106.770213
2013-07-01,112.760002,114.709999,110.589996,110.949997,5232900,105.317874
2013-07-02,110.949997,111.300003,109.129997,109.470001,4152600,103.913007
2013-07-03,108.760002,112.580002,107.800003,112.449997,2224000,106.74173
2013-07-05,111.199997,113.110001,110.949997,112.360001,1982200,106.656302
2013-07-08,113.230003,114.239998,111.699997,111.980003,3586000,106.295595
2013-07-09,112.709999,115.360001,112.610001,114.059998,4197800,108.270003
2013-07-10,114.040001,114.709999,112.669998,113.849998,2057100,108.070664
2013-07-11,115.910004,116.949997,114.220001,115.360001,2458000,109.504014
2013-07-12,115.480003,115.480003,113.769997,115.160004,2970100,109.314169
2013-07-15,115.419998,116.599998,114.82,114.889999,1351800,109.057871
2013-07-16,114.849998,115.029999,113.290001,113.379997,2309100,107.624521
2013-07-17,113.519997,114.0,112.120003,113.349998,3653800,107.596045
2013-07-18,113.449997,114.760002,113.360001,113.910004,2058500,108.127623
2013-07-19,119.110001,119.459999,116.040001,116.470001,4120000,110.557668
2013-07-22,116.339996,116.989998,114.699997,116.029999,2552800,110.140001
2013-07-23,116.18,118.290001,115.970001,117.290001,2865700,111.336042
2013-07-24,117.690002,117.970001,116.830002,117.290001,1288600,111.336042
2013-07-25,117.120003,117.669998,116.739998,117.220001,2349400,111.269596
2013-07-26,116.400002,117.120003,115.989998,116.849998,1682100,110.918376
2013-07-29,116.959999,117.089996,115.160004,115.230003,1217600,109.380616
2013-07-30,115.550003,115.93,113.349998,115.0,2255800,109.162288
2013-07-31,115.410004,115.910004,113.510002,114.07,2903100,108.279497
2013-08-01,116.379997,120.93,114.599998,117.68,2825900,111.706244
2013-08-02,117.959999,120.410004,108.260002,117.099998,7585900,111.155685
2013-08-05,116.529999,118.389999,116.269997,116.419998,2173200,110.510203
2013-08-06,115.860001,116.400002,113.779999,114.260002,2033600,108.459854
2013-08-07,113.699997,115.5,113.370003,114.75,1744500,108.924979
2013-08-08,113.650002,115.809998,113.650002,114.760002,1144100,108.934473
2013-08-09,114.620003,115.809998,114.620003,115.0,1338800,109.162288
2013-08-12,114.720001,114.839996,112.800003,113.25,1715900,107.501123
2013-08-13,113.540001,114.089996,112.669998,113.800003,1591300,108.023206
2013-08-14,113.43,113.980003,112.400002,112.769997,1319000,107.045486
2013-08-15,112.129997,112.599998,110.0,110.209999,4400100,104.615441
2013-08-16,109.739998,111.199997,109.370003,109.940002,1654900,104.35915
2013-08-19,110.040001,110.269997,108.730003,108.730003,1245800,103.210573
2013-08-20,108.760002,109.32,108.389999,108.860001,1105300,103.333972
2013-08-21,108.730003,109.459999,107.360001,108.150002,2510100,102.660014
2013-08-22,108.18,109.540001,108.0,108.959999,1073100,103.428894
2013-08-23,108.959999,108.959999,107.400002,108.730003,1331400,103.210573
2013-08-26,109.110001,110.260002,108.099998,108.199997,1114000,102.707472
2013-08-27,107.260002,108.610001,106.010002,107.690002,1668600,102.223366
2013-08-28,107.330002,108.550003,106.800003,108.029999,1188200,102.546103
2013-08-29,107.559998,108.629997,107.290001,107.629997,984100,102.166407
2013-08-30,107.919998,108.550003,106.919998,107.349998,1136500,101.900621
2013-09-03,108.239998,110.07,108.169998,109.25,1736600,103.704174
2013-09-04,108.860001,110.040001,108.860001,109.910004,1525200,104.330674
2013-09-05,109.870003,110.559998,108.720001,108.900002,1645600,103.371942
2013-09-06,109.389999,109.68,107.629997,109.07,1073300,103.533311
2013-09-09,109.43,109.959999,108.93,109.559998,1724200,103.998435
2013-09-10,110.25,110.849998,109.43,110.129997,1938600,104.5395
2013-09-11,110.110001,110.980003,109.550003,110.43,2251700,104.824274
2013-09-12,110.25,111.07,110.059998,110.559998,1284200,104.947672
2013-09-13,110.949997,111.57,110.489998,111.209999,1004700,105.564678
2013-09-16,112.809998,112.940002,111.809998,112.32,1109100,106.618332
2013-09-17,112.169998,113.879997,112.089996,113.510002,1326000,107.747926
2013-09-18,113.389999,116.0,112.93,114.900002,1984600,109.067366
2013-09-19,115.07,115.849998,113.779999,113.949997,2118800,108.165586
2013-09-20,113.959999,114.559998,113.040001,113.589996,1992400,107.82386
2013-09-23,113.080002,113.730003,112.410004,112.580002,829800,106.865136
2013-09-24,112.589996,113.07,111.519997,111.559998,1647900,105.896909
2013-09-25,111.510002,113.489998,109.720001,110.839996,3070700,105.213457
2013-09-26,110.989998,112.25,110.849998,112.139999,1789200,106.447469
2013-09-27,111.730003,112.830002,111.199997,112.169998,1392300,106.475945
2013-09-30,111.25,112.190002,111.07,111.599998,1585900,105.93488
2013-10-01,111.540001,113.449997,111.459999,112.779999,1445300,107.05498
2013-10-02,111.839996,113.580002,111.610001,112.720001,1596100,106.998028
2013-10-03,112.089996,112.410004,111.129997,111.459999,1900200,105.801987
2013-10-04,111.699997,112.919998,111.459999,112.790001,1937700,107.064474
2013-10-07,112.110001,112.239998,110.68,111.019997,1337200,105.38432
2013-10-08,111.550003,111.989998,108.959999,109.800003,2470400,104.226257
2013-10-09,109.800003,111.120003,108.879997,110.269997,2081900,104.672392
2013-10-10,111.410004,117.160004,111.410004,116.949997,4010700,111.013298
2013-10-11,116.529999,116.93,115.699997,115.790001,2047600,109.912186
2013-10-14,115.629997,116.150002,113.970001,114.68,2058600,108.858532
2013-10-15,114.669998,117.169998,113.370003,116.589996,2488300,110.671572
2013-10-16,117.269997,118.32,116.18,117.449997,1980700,111.487916
2013-10-17,117.0,118.860001,116.370003,118.629997,1463600,112.608017
2013-10-18,118.699997,118.75,117.860001,118.199997,1657400,112.199844
2013-10-21,118.25,118.839996,117.800003,118.349998,745400,112.342231
2013-10-22,118.580002,119.980003,118.540001,119.519997,1503500,113.452837
2013-10-23,118.919998,119.779999,118.510002,118.709999,1222800,112.683957
2013-10-24,119.169998,119.739998,117.580002,119.489998,1088600,113.424361
2013-10-25,119.599998,120.599998,118.199997,119.440002,1614600,113.376904
2013-10-28,118.940002,119.0,116.830002,118.720001,1695100,112.693452
2013-10-29,119.07,119.660004,117.760002,118.139999,1691700,112.142893
2013-10-30,118.489998,118.699997,115.620003,116.879997,2022900,110.946852
2013-10-31,117.169998,124.0,117.169998,120.150002,4524700,114.050861
2013-11-01,120.419998,128.169998,119.82,123.510002,5315700,117.240299
2013-11-04,125.0,125.0,120.910004,123.150002,3195200,116.898573
2013-11-05,122.510002,122.550003,119.910004,119.970001,2659100,113.879998
2013-11-06,120.440002,121.650002,119.940002,120.209999,1360600,114.107813
2013-11-07,120.25,120.980003,118.0,118.239998,1721400,112.237815
2013-11-08,118.75,121.120003,118.07,121.080002,1704100,114.933652
2013-11-11,120.889999,121.480003,118.879997,119.139999,1354000,113.09213
2013-11-12,119.269997,119.389999,116.980003,118.379997,1749000,112.370707
2013-11-13,117.629997,120.470001,117.419998,120.139999,1621500,114.041367
2013-11-14,120.230003,122.300003,120.089996,120.82,1755300,114.686849
2013-11-15,121.150002,121.589996,120.489998,120.879997,1567000,114.743801
2013-11-18,120.879997,121.800003,120.5,121.529999,1199200,115.360806
2013-11-19,121.389999,123.129997,120.809998,122.260002,2212700,116.053753
2013-11-20,122.300003,122.419998,119.830002,120.050003,2040100,113.955939
2013-11-21,119.769997,121.699997,119.769997,120.860001,1946400,114.724819
2013-11-22,125.510002,133.729996,125.449997,132.919998,12609000,126.172618
2013-11-25,132.229996,132.850006,130.759995,132.020004,3754300,125.318311
2013-11-26,131.25,139.169998,131.0,136.559998,6863900,130.269227
2013-11-27,137.309998,137.580002,135.649994,136.800003,3272400,130.498176
2013-11-29,137.279999,139.050003,136.970001,138.220001,2169900,131.852761
2013-12-02,137.979996,139.850006,136.149994,136.809998,2803600,130.50771
2013-12-03,136.520004,136.529999,133.539993,134.139999,3965500,127.960708
2013-12-04,133.770004,134.029999,131.550003,132.199997,4513800,126.110074
2013-12-05,131.759995,139.0,130.559998,132.529999,6906700,126.424874
2013-12-06,132.639999,133.199997,130.550003,131.0,4312600,124.965356
2013-12-09,130.529999,132.210007,129.690002,130.440002,2158200,124.431155
2013-12-10,130.949997,132.820007,130.619995,131.860001,2700800,125.78574
2013-12-11,132.259995,132.449997,130.830002,131.5,2730600,125.442323
2013-12-12,131.479996,132.880005,130.690002,131.059998,2486400,125.02259
2013-12-13,131.600006,135.990005,129.910004,131.410004,6739300,125.356472
2013-12-16,131.800003,132.660004,130.919998,132.089996,2419300,126.00514
2013-12-17,132.259995,134.139999,131.990005,133.029999,2511200,126.901841
2013-12-18,133.009995,134.5,132.210007,134.490005,1566300,128.294591
2013-12-19,134.600006,134.600006,132.720001,133.740005,1812100,127.57914
2013-12-20,133.220001,134.0,132.369995,132.460007,3256300,126.358106
2013-12-23,133.009995,133.649994,132.449997,132.5,1916800,126.396257
2013-12-24,132.509995,134.320007,132.509995,134.039993,444000,127.865309
2013-12-26,134.139999,134.139999,133.0,133.330002,981000,127.188024
2013-12-27,133.330002,134.589996,133.320007,134.460007,649900,128.265974
2013-12-30,134.330002,135.179993,133.919998,134.940002,661600,128.723858
2013-12-31,134.960007,135.610001,134.570007,135.5,1384900,129.258059
2014-01-02,135.070007,135.470001,133.710007,133.839996,1619400,127.674525
2014-01-03,134.429993,134.5,133.100006,133.399994,1279100,127.254792
2014-01-06,135.0,135.570007,133.440002,134.029999,2119500,127.855775
2014-01-07,134.139999,135.009995,133.929993,134.899994,1724200,128.685693
2014-01-08,134.580002,134.899994,132.179993,132.550003,2943500,126.443956
2014-01-09,133.0,133.960007,132.779999,133.169998,1703400,127.035391
2014-01-10,132.960007,134.009995,132.399994,133.360001,2074400,127.216641
2014-01-13,132.779999,133.429993,130.880005,132.399994,3078300,126.300858
2014-01-14,134.910004,137.199997,134.199997,136.0,8992100,129.735026
2014-01-15,135.899994,136.460007,135.0,135.130005,3410000,128.905108
2014-01-16,135.789993,135.850006,134.449997,135.289993,3298700,129.057726
2014-01-17,135.330002,135.940002,134.990005,135.710007,2703700,129.458391
2014-01-21,134.910004,135.619995,134.449997,134.509995,3756200,128.313659
2014-01-22,134.929993,135.529999,134.669998,134.880005,1590400,128.666624
2014-01-23,134.539993,135.320007,133.949997,134.550003,2704200,128.351824
2014-01-24,134.029999,135.160004,133.339996,133.699997,2781400,127.540975
2014-01-27,132.570007,135.479996,130.529999,133.449997,7818700,127.302491
2014-01-28,134.100006,134.630005,133.330002,133.710007,2105000,127.550523
2014-01-29,132.429993,133.720001,131.899994,132.100006,3452400,126.014689
2014-01-30,133.199997,134.660004,132.270004,134.199997,2017300,128.017942
2014-01-31,132.350006,134.610001,132.259995,133.270004,2060100,127.13079
2014-02-03,135.740005,135.899994,133.5,134.009995,4025900,127.836692
2014-02-04,135.149994,136.139999,134.059998,135.899994,1956900,129.639627
2014-02-05,134.559998,135.639999,134.410004,134.820007,1224900,128.609391
2014-02-06,135.5,135.820007,134.630005,135.649994,2232300,129.401143
2014-02-07,135.669998,136.440002,134.660004,135.350006,2085400,129.114975
2014-02-10,134.800003,135.889999,134.309998,135.699997,1333800,129.448843
2014-02-11,135.679993,136.25,134.720001,134.899994,2794700,128.685693
2014-02-12,134.830002,135.320007,134.149994,135.309998,2145100,129.076809
2014-02-13,145.210007,146.190002,143.300003,144.809998,26662900,138.139182
2014-02-14,144.720001,147.279999,144.600006,146.0,8299000,139.274366
2014-02-18,146.160004,146.449997,144.419998,144.979996,5667400,138.301349
2014-02-19,144.199997,144.699997,139.600006,141.0,9971200,134.504696
2014-02-20,141.199997,142.820007,140.5,141.660004,7708100,135.134296
2014-02-21,141.029999,141.820007,140.009995,140.539993,5488800,134.06588
2014-02-24,141.119995,142.160004,139.130005,139.160004,5235300,132.749461
2014-02-25,138.820007,139.419998,136.789993,138.289993,4897000,131.919528
2014-02-26,138.059998,138.490005,136.809998,137.759995,2171200,132.130539
2014-02-27,137.419998,139.630005,137.419998,138.600006,2313400,132.936224
2014-02-28,139.25,141.509995,139.139999,140.350006,3649500,134.614711
2014-03-03,139.0,139.649994,137.580002,139.229996,3267500,133.540469
2014-03-04,139.899994,140.75,139.710007,140.089996,2347500,134.365327
2014-03-05,140.100006,142.220001,139.190002,141.100006,3363900,135.334063
2014-03-06,141.449997,142.289993,141.119995,141.740005,2394300,135.947909
2014-03-07,142.339996,142.339996,139.949997,140.210007,1573600,134.480433
2014-03-10,139.869995,140.990005,139.419998,139.880005,1896900,134.163916
2014-03-11,140.229996,140.880005,138.979996,139.5,1112400,133.79944
2014-03-12,139.039993,139.470001,138.009995,138.559998,2013200,132.89785
2014-03-13,138.990005,139.169998,136.800003,137.490005,2865500,131.871582
2014-03-14,137.539993,138.570007,137.059998,138.020004,2332500,132.379923
2014-03-17,138.509995,139.070007,137.960007,138.259995,2066200,132.610106
2014-03-18,137.889999,138.059998,135.929993,136.589996,3757900,131.008351
2014-03-19,136.529999,136.679993,135.25,136.460007,2668300,130.883674
2014-03-20,136.179993,139.229996,136.130005,138.509995,2705300,132.84989
2014-03-21,139.160004,140.070007,136.639999,136.649994,2962600,131.065897
2014-03-24,137.570007,138.160004,135.139999,137.309998,2879000,131.69893
2014-03-25,137.610001,137.899994,134.880005,135.660004,2937900,130.116362
2014-03-26,135.820007,137.100006,134.860001,134.919998,3302900,129.406596
2014-03-27,134.649994,135.0,133.669998,134.050003,2189700,128.572153
2014-03-28,135.729996,136.520004,134.899994,135.869995,3211500,130.317772
2014-03-31,137.149994,137.899994,136.580002,137.179993,2382800,131.574238
2014-04-01,137.399994,138.009995,136.440002,137.550003,1971700,131.929128
2014-04-02,137.970001,140.550003,137.830002,140.550003,4082200,134.806536
2014-04-03,140.210007,141.630005,139.869995,141.479996,2536900,135.698525
2014-04-04,141.970001,142.600006,139.089996,139.169998,2914400,133.482923
2014-04-07,138.539993,139.050003,134.830002,136.240005,3403000,130.672663
2014-04-08,136.369995,136.949997,134.149994,135.919998,5599300,130.365732
2014-04-09,135.75,138.570007,135.279999,138.339996,2949000,132.686839
2014-04-10,138.080002,138.360001,134.789993,134.830002,3367700,129.320278
2014-04-11,134.279999,135.190002,132.899994,133.080002,3771300,127.64179
2014-04-14,133.600006,135.139999,133.330002,134.410004,2327900,128.917442
2014-04-15,134.380005,134.990005,132.580002,134.130005,2769300,128.648886
2014-04-16,135.710007,135.789993,134.490005,135.619995,3429900,130.077989
2014-04-17,135.029999,136.419998,134.720001,135.330002,2283300,129.799846
2014-04-21,135.860001,136.690002,135.429993,136.600006,1698100,131.017952
2014-04-22,138.589996,140.669998,138.339996,138.429993,4743300,132.773158
2014-04-23,138.600006,140.039993,138.479996,139.869995,2533800,134.154316
2014-04-24,140.210007,141.990005,137.880005,140.399994,2372800,134.662656
2014-04-25,140.479996,140.809998,139.309998,139.410004,1690700,133.713121
2014-04-28,141.039993,141.699997,138.699997,140.949997,3600500,135.190184
2014-04-29,141.419998,141.820007,139.630005,141.330002,4764900,135.55466
2014-04-30,140.779999,141.940002,140.110001,141.460007,2292400,135.679353
2014-05-01,141.970001,142.199997,141.289993,142.100006,2164000,136.293199
2014-05-02,142.600006,142.759995,141.25,142.130005,1631100,136.321972
2014-05-05,141.490005,142.839996,141.169998,142.779999,2068700,136.945404
2014-05-06,142.300003,142.460007,141.009995,141.210007,1688200,135.439569
2014-05-07,141.869995,142.009995,139.770004,141.309998,2071200,135.535473
2014-05-08,141.270004,141.270004,138.490005,139.240005,2825200,133.55007
2014-05-09,138.979996,139.039993,136.710007,138.880005,1461800,133.204781
2014-05-12,139.240005,139.539993,137.639999,138.139999,1898100,132.495015
2014-05-13,138.360001,138.600006,135.889999,135.970001,5099300,130.413692
2014-05-14,136.179993,136.520004,134.679993,135.229996,2518500,129.703926
2014-05-15,134.899994,137.080002,133.440002,137.039993,2059300,131.43996
2014-05-16,136.809998,136.860001,135.630005,136.679993,1556300,131.09467
2014-05-19,135.509995,138.779999,135.470001,138.429993,2405000,132.773158
2014-05-20,138.070007,138.639999,137.380005,137.850006,1425500,132.216872
2014-05-21,137.710007,139.759995,137.600006,139.699997,1226800,133.991264
2014-05-22,140.100006,140.800003,139.630005,140.529999,1075800,134.787349
2014-05-23,140.809998,141.729996,140.699997,141.279999,864400,135.506701
2014-05-27,141.820007,142.199997,140.839996,141.389999,2129400,135.612206
2014-05-28,140.389999,140.940002,139.429993,140.350006,944300,135.332581
2014-05-29,141.039993,141.320007,140.089996,141.110001,765700,136.065406
2014-05-30,141.080002,141.389999,140.380005,141.160004,867200,136.113622
2014-06-02,141.460007,142.679993,140.949997,142.119995,1115300,137.039294
2014-06-03,141.669998,141.880005,141.389999,141.589996,992600,136.528242
2014-06-04,141.039993,142.360001,140.539993,141.990005,1199200,136.913951
2014-06-05,141.5,143.139999,141.5,142.869995,1198100,137.762482
2014-06-06,143.5,143.679993,142.179993,143.660004,927500,138.524248
2014-06-09,143.169998,144.600006,142.880005,144.160004,1648200,139.006374
2014-06-10,143.429993,144.160004,142.570007,143.720001,1017500,138.582101
2014-06-11,143.270004,143.389999,142.300003,143.009995,1685600,137.897476
2014-06-12,142.729996,143.020004,141.970001,142.720001,1367500,137.61785
2014-06-13,142.479996,142.880005,141.610001,142.259995,957100,137.174288
2014-06-16,141.800003,142.300003,141.410004,141.880005,1119000,136.807883
2014-06-17,141.600006,141.800003,141.020004,141.399994,960800,136.345032
2014-06-18,141.360001,143.0,140.850006,142.850006,1136500,137.743208
2014-06-19,142.889999,143.740005,142.509995,143.720001,1281500,138.582101
2014-06-20,144.300003,144.490005,142.75,143.25,2120500,138.128902
2014-06-23,142.839996,143.25,142.240005,142.470001,1143900,137.376788
2014-06-24,142.029999,144.139999,142.0,143.300003,1871300,138.177117
2014-06-25,142.929993,145.740005,142.710007,145.210007,2136500,140.01884
2014-06-26,145.160004,146.600006,144.759995,146.600006,1273500,141.359147
2014-06-27,145.860001,148.199997,145.860001,147.839996,1449400,142.554809
2014-06-30,147.710007,147.839996,146.729996,147.300003,1258600,142.03412
2014-07-01,147.669998,149.210007,147.179993,148.440002,2431300,143.133365
2014-07-02,148.330002,149.539993,147.75,149.490005,1664700,144.145831
2014-07-03,149.669998,150.509995,149.029999,150.509995,1155200,145.129356
2014-07-07,149.199997,149.970001,147.740005,148.369995,1045400,143.06586
2014-07-08,148.110001,148.479996,145.690002,145.720001,2201000,140.510602
2014-07-09,146.300003,149.789993,146.110001,149.770004,2078200,144.41582
2014-07-10,148.339996,149.949997,148.240005,148.550003,1490900,143.239433
2014-07-11,148.070007,149.320007,147.979996,148.880005,1189400,143.557638
2014-07-14,149.229996,150.669998,148.600006,150.089996,1585200,144.724373
2014-07-15,149.639999,150.259995,148.809998,149.309998,1573700,143.972258
2014-07-16,149.660004,151.100006,149.119995,149.279999,2436000,143.943332
2014-07-17,148.990005,149.639999,146.509995,146.75,2094100,141.503779
2014-07-18,147.589996,148.649994,147.259995,148.460007,1624200,143.152654
2014-07-21,147.490005,147.970001,145.839996,146.449997,1318400,141.214501
2014-07-22,148.800003,150.449997,147.970001,149.149994,1601000,143.817975
2014-07-23,149.0,150.210007,148.25,149.910004,1924000,144.550815
2014-07-24,149.759995,150.649994,149.339996,150.0,3249700,144.637594
2014-07-25,149.649994,150.399994,148.119995,148.360001,1220000,143.056223
2014-07-28,148.990005,149.309998,147.630005,149.009995,807800,143.68298
2014-07-29,150.350006,154.119995,149.860001,149.860001,2184600,144.502599
2014-07-30,150.320007,151.479996,149.800003,151.419998,1753200,146.006828
2014-07-31,149.940002,150.199997,145.100006,145.100006,2147600,139.912771
2014-08-01,146.149994,147.100006,145.160004,145.880005,1399100,140.664886
2014-08-04,146.009995,147.960007,145.929993,147.279999,1457600,142.014831
2014-08-05,146.610001,146.889999,144.899994,145.389999,1492300,140.192398
2014-08-06,144.669998,145.5,144.080002,144.270004,1508800,139.112442
2014-08-07,144.690002,145.139999,142.899994,143.139999,1580500,138.022834
2014-08-08,143.529999,145.720001,143.139999,145.710007,1636200,140.500965
2014-08-11,145.960007,147.399994,145.490005,145.990005,1319300,140.770954
2014-08-12,146.009995,147.070007,145.440002,145.869995,1092000,140.655234
2014-08-13,146.259995,147.740005,146.259995,146.529999,1387600,141.291643
2014-08-14,146.940002,148.029999,146.630005,148.020004,1144300,142.728382
2014-08-15,148.639999,149.0,147.080002,148.309998,1677000,143.008008
2014-08-18,148.800003,149.139999,147.630005,148.429993,2012800,143.123713
2014-08-19,148.399994,148.759995,147.389999,147.919998,1054800,142.631951
2014-08-20,147.240005,148.490005,147.149994,148.0,1161700,142.709092
2014-08-21,147.990005,148.490005,147.320007,147.520004,1536300,142.246256
2014-08-22,147.559998,147.559998,146.199997,146.449997,1145900,141.214501
2014-08-25,147.649994,148.360001,147.0,147.970001,1722400,142.680166
2014-08-26,148.429993,148.429993,147.100006,147.339996,1968800,142.072683
2014-08-27,147.020004,147.940002,146.759995,147.110001,954800,142.576665
2014-08-28,146.809998,147.550003,146.309998,147.139999,857000,142.605739
2014-08-29,147.309998,147.929993,146.610001,147.929993,874000,143.371388
2014-09-02,148.190002,148.279999,146.300003,147.330002,1585900,142.789887
2014-09-03,147.889999,148.220001,147.020004,147.509995,873500,142.964333
2014-09-04,147.550003,148.729996,147.179993,147.380005,1316200,142.838349
2014-09-05,147.490005,150.240005,147.25,150.199997,1754400,145.57144
2014-09-08,149.660004,151.089996,149.059998,150.75,1695600,146.104494
2014-09-09,150.259995,153.0,150.119995,152.619995,3030600,147.916864
2014-09-10,152.649994,153.729996,152.179993,153.509995,1485500,148.779437
2014-09-11,152.589996,154.369995,152.520004,154.240005,1765400,149.486952
2014-09-12,154.0,154.669998,153.309998,154.309998,1324800,149.554787
2014-09-15,154.399994,155.320007,153.630005,154.0,2394400,149.254342
2014-09-16,154.059998,154.729996,153.240005,154.660004,1042400,149.894007
2014-09-17,154.669998,155.210007,153.690002,154.619995,941600,149.855232
2014-09-18,154.720001,155.039993,153.220001,153.509995,3260700,148.779437
2014-09-19,154.369995,154.75,152.539993,153.160004,2422700,148.440231
2014-09-22,152.419998,152.520004,149.380005,150.610001,2570900,145.968809
2014-09-23,150.479996,150.679993,147.800003,147.860001,2149700,143.303553
2014-09-24,147.860001,148.270004,145.550003,147.070007,3205300,142.537904
2014-09-25,146.639999,147.100006,143.979996,144.25,2427300,139.804798
2014-09-26,144.470001,145.270004,143.589996,145.089996,1483700,140.618909
2014-09-29,143.960007,145.720001,143.610001,144.970001,1625400,140.502612
2014-09-30,144.740005,145.649994,143.240005,143.490005,2700000,139.068223
2014-10-01,144.0,144.009995,140.800003,141.899994,1954300,137.52721
2014-10-02,141.759995,141.830002,138.320007,141.460007,1618700,137.100781
2014-10-03,141.910004,145.279999,141.910004,144.509995,2002100,140.05678
2014-10-06,144.660004,145.179993,143.0,143.619995,1405300,139.194207
2014-10-07,142.679993,143.830002,141.600006,142.759995,1365800,138.360708
2014-10-08,142.75,147.570007,142.5,147.279999,2852200,142.741424
2014-10-09,146.550003,146.860001,142.479996,142.479996,2973200,138.089338
2014-10-10,143.330002,143.899994,141.039993,141.210007,2768300,136.858485
2014-10-13,141.210007,142.029999,138.119995,138.210007,3927500,133.950933
2014-10-14,139.089996,140.330002,137.279999,137.539993,2071800,133.301566
2014-10-15,134.779999,137.089996,128.779999,136.139999,8466100,131.944715
2014-10-16,133.990005,133.990005,131.240005,131.880005,5432600,127.815996
2014-10-17,133.119995,137.25,132.669998,135.350006,4075900,131.179066
2014-10-20,135.179993,137.050003,133.660004,136.800003,1735700,132.58438
2014-10-21,138.059998,140.649994,137.440002,139.429993,2087800,135.133324
2014-10-22,139.179993,140.050003,135.889999,136.050003,3633900,131.857492
2014-10-23,138.740005,141.259995,137.300003,140.929993,2984900,136.5871
2014-10-24,141.160004,144.600006,140.839996,142.979996,2957000,138.57393
2014-10-27,143.059998,143.889999,140.429993,140.600006,3359200,136.267282
2014-10-28,141.050003,143.020004,141.050003,142.589996,2867900,138.195949
2014-10-29,142.399994,144.639999,142.389999,143.75,1438600,139.320206
2014-10-30,143.029999,143.860001,142.009995,142.880005,1666600,138.477021
2014-10-31,145.410004,147.210007,144.679993,147.210007,3016900,142.673589
2014-11-03,149.419998,149.729996,146.970001,149.020004,2263000,144.42781
2014-11-04,148.380005,148.479996,144.850006,144.869995,2156400,140.405687
2014-11-05,146.309998,146.639999,144.449997,146.160004,1085700,141.655943
2014-11-06,145.940002,147.130005,144.759995,146.380005,1835100,141.869165
2014-11-07,146.210007,146.210007,142.080002,143.600006,7469200,139.174834
2014-11-10,143.639999,144.0,133.259995,136.5,11431100,132.293622
2014-11-11,136.5,136.649994,131.0,134.779999,10584000,130.626624
2014-11-12,135.369995,138.789993,134.809998,136.479996,5863900,132.274234
2014-11-13,138.669998,141.660004,137.5,141.050003,6931400,136.703412
2014-11-14,140.600006,141.190002,139.539993,140.009995,2992900,135.695452
2014-11-17,139.300003,141.940002,139.240005,141.770004,3867200,137.401226
2014-11-18,141.419998,142.899994,140.600006,142.589996,2794300,138.195949
2014-11-19,142.380005,143.789993,141.570007,143.610001,3275800,139.184521
2014-11-20,142.360001,143.710007,141.910004,143.710007,1905000,139.281445
2014-11-21,145.809998,145.809998,142.520004,142.520004,2277500,138.128114
2014-11-24,142.839996,146.25,142.839996,146.240005,2719900,141.733479
2014-11-25,145.619995,149.899994,145.619995,149.589996,2971000,145.727607
2014-11-26,149.309998,149.75,148.800003,149.529999,854000,145.669158
